customer_id,name,email,age,country,signup_date,lifetime_value
CUST-0168,Customer 168,user168@example.com,57,BR,2023-03-06,826.33
CUST-0169,Customer 169,user169@example.com,45,DE,2023-10-09,649.33
CUST-0170,Customer 170,user170@example.com,53,JP,2023-09-15,6.22
CUST-0171,Customer 171,user171@example.com,25,DE,2023-10-19,1673.8
CUST-0172,Customer 172,user172@example.com,68,AU,2023-07-09,332.36
CUST-0173,Customer 173,INVALID,27,CA,2023-01-13,201.36
CUST-0174,Customer 174,user174@example.com,41,,2023-05-10,338.26
CUST-0175,Customer 175,user175@example.com,26,BR,2023-06-09,464.41
CUST-0176,Customer 176,user176@example.com,44,AU,2023-01-17,33.93
CUST-0177,Customer 177,user177@example.com,51,US,2023-03-07,112.03
CUST-0178,Customer 178,INVALID,,FR,2023-05-12,351.73
CUST-0179,Customer 179,user179@example.com,,BR,2023-03-28,400.74
CUST-0180,Customer 180,user180@example.com,71,JP,2023-01-13,
CUST-0181,Customer 181,user181@example.com,32,FR,2023-05-21,10.13
CUST-0182,Customer 182,user182@example.com,,DE,2023-10-26,
CUST-0183,Customer 183,user183@example.com,63,CA,2023-07-28,145.18
CUST-0184,Customer 184,user184@example.com,43,US,2023-09-22,914.35
CUST-0185,Customer 185,user185@example.com,61,UK,2023-06-09,988.41
CUST-0186,Customer 186,user186@example.com,37,FR,2023-01-26,830.44
CUST-0187,Customer 187,user187@example.com,19,JP,2023-05-14,667.29
CUST-0188,Customer 188,user188@example.com,39,FR,2023-11-18,322.88
CUST-0189,Customer 189,user189@example.com,28,DE,2023-05-04,675.31
CUST-0190,Customer 190,user190@example.com,61,UK,2023-04-12,1025.65
CUST-0191,Customer 191,user191@example.com,55,UK,2023-08-02,438.02
CUST-0192,Customer 192,INVALID,50,CA,2023-09-10,1023.39
CUST-0193,Customer 193,user193@example.com,54,BR,2023-03-11,99.44
CUST-0194,Customer 194,user194@example.com,38,US,2023-08-09,742.6
CUST-0195,Customer 195,user195@example.com,67,CA,2023-11-14,1680.91
CUST-0196,Customer 196,INVALID,41,AU,2023-09-07,
CUST-0197,,user197@example.com,40,UK,2023-07-17,91.37
CUST-0198,Customer 198,user198@example.com,64,AU,2023-07-22,209.83
CUST-0199,Customer 199,user199@example.com,69,FR,2023-04-24,118.62
CUST-0200,,user200@example.com,63,US,2023-07-21,382.57
CUST-0201,,user201@example.com,59,US,2023-12-04,239.22
CUST-0202,Customer 202,user202@example.com,62,US,2023-05-14,543.07
CUST-0203,Customer 203,user203@example.com,71,UK,2023-05-04,344.32
CUST-0204,Customer 204,user204@example.com,30,CA,2023-05-06,
CUST-0205,Customer 205,user205@example.com,39,US,2023-11-03,901.61
CUST-0206,Customer 206,user206@example.com,50,UK,2023-05-21,2239.97
CUST-0207,Customer 207,user207@example.com,29,JP,2023-06-26,277.56
CUST-0208,Customer 208,user208@example.com,18,DE,2023-06-12,1551.54
CUST-0209,Customer 209,user209@example.com,39,CA,2023-07-15,243.65
CUST-0210,Customer 210,user210@example.com,69,DE,2023-12-24,
CUST-0211,Customer 211,user211@example.com,55,BR,2023-03-20,222.05
CUST-0212,,user212@example.com,26,BR,2023-02-14,32.72
CUST-0213,Customer 213,INVALID,51,FR,2023-11-28,370.23
CUST-0214,Customer 214,user214@example.com,33,CA,2023-03-27,1113.1
CUST-0215,Customer 215,INVALID,50,BR,2023-03-03,193.3
CUST-0216,Customer 216,user216@example.com,53,CA,2023-04-03,807.88
CUST-0217,Customer 217,user217@example.com,25,US,2023-02-13,407.24
CUST-0218,,user218@example.com,57,FR,2023-11-22,208.41
CUST-0219,Customer 219,user219@example.com,39,BR,2023-12-22,301.23
CUST-0220,Customer 220,user220@example.com,,JP,2023-09-17,56.21
CUST-0221,Customer 221,user221@example.com,65,UK,2023-05-20,64.34
CUST-0222,Customer 222,user222@example.com,30,UK,2023-07-02,908.43
CUST-0223,Customer 223,user223@example.com,60,DE,2023-08-01,24.9
CUST-0224,Customer 224,user224@example.com,50,DE,2023-12-19,844.36
CUST-0225,Customer 225,user225@example.com,38,CA,2023-07-20,718.53
CUST-0226,Customer 226,user226@example.com,46,DE,2023-07-20,690.01
CUST-0227,Customer 227,user227@example.com,63,FR,2023-04-07,171.65
CUST-0228,Customer 228,user228@example.com,59,DE,2023-09-18,194.59
CUST-0229,Customer 229,user229@example.com,54,CA,2023-11-24,381.68
CUST-0230,Customer 230,user230@example.com,,CA,2023-03-02,111.51
CUST-0231,Customer 231,user231@example.com,34,US,2023-12-26,700.39
CUST-0232,,user232@example.com,61,FR,2023-12-21,135.64
CUST-0233,Customer 233,user233@example.com,60,CA,2023-07-14,1861.17
CUST-0234,Customer 234,user234@example.com,,BR,2023-04-21,521.54
CUST-0235,Customer 235,user235@example.com,67,FR,2023-05-15,573.89
CUST-0236,Customer 236,user236@example.com,42,JP,2023-09-09,438.52
CUST-0237,Customer 237,user237@example.com,27,,2023-06-20,
CUST-0238,Customer 238,user238@example.com,49,AU,2023-02-26,372.64
CUST-0239,Customer 239,user239@example.com,28,CA,2023-02-12,119.99
CUST-0240,Customer 240,user240@example.com,66,BR,2023-09-27,523.91
CUST-0241,Customer 241,user241@example.com,59,FR,2023-01-22,240.13
CUST-0242,Customer 242,user242@example.com,64,AU,2023-09-26,333.55
CUST-0243,Customer 243,user243@example.com,23,DE,2023-09-18,
CUST-0244,Customer 244,user244@example.com,61,UK,2023-04-18,1054.49
CUST-0245,Customer 245,user245@example.com,22,DE,2023-01-15,19.31
CUST-0246,Customer 246,user246@example.com,22,FR,2023-05-14,497.42
CUST-0247,Customer 247,INVALID,52,,2023-12-20,
CUST-0248,Customer 248,INVALID,40,UK,2023-05-26,466.42
CUST-0249,Customer 249,user249@example.com,70,BR,2023-03-18,686.7
CUST-0250,Customer 250,user250@example.com,58,AU,2023-01-18,76.21
CUST-0251,,user251@example.com,53,JP,2023-04-24,647.2
CUST-0252,Customer 252,user252@example.com,27,FR,2023-10-27,60.87
CUST-0253,Customer 253,user253@example.com,,BR,2023-11-18,
CUST-0254,Customer 254,user254@example.com,55,AU,2023-06-05,133.63
CUST-0255,Customer 255,INVALID,49,JP,2023-12-19,418.35
CUST-0256,Customer 256,user256@example.com,38,FR,2023-12-24,161.95
CUST-0257,Customer 257,user257@example.com,48,AU,2023-05-16,96.65
CUST-0258,Customer 258,user258@example.com,26,FR,2023-05-24,39.77
CUST-0259,Customer 259,INVALID,19,CA,2023-10-07,401.03
CUST-0260,Customer 260,user260@example.com,67,CA,2023-04-25,973.03
CUST-0261,Customer 261,user261@example.com,41,FR,2023-10-22,360.91
CUST-0262,Customer 262,user262@example.com,60,DE,2023-12-24,222.2
CUST-0263,Customer 263,user263@example.com,41,FR,2023-09-26,317.13
CUST-0264,Customer 264,INVALID,38,JP,2023-12-09,422.17
CUST-0265,Customer 265,user265@example.com,71,JP,2023-07-08,217.63
CUST-0266,Customer 266,user266@example.com,56,,2023-03-15,40.11
CUST-0267,Customer 267,user267@example.com,41,UK,2023-11-08,200.41
CUST-0268,Customer 268,user268@example.com,55,CA,2023-01-08,
CUST-0269,Customer 269,user269@example.com,20,DE,2023-01-06,99.25
CUST-0270,Customer 270,user270@example.com,19,JP,2023-02-07,2465.16
CUST-0271,Customer 271,user271@example.com,56,DE,2023-10-22,91.79
CUST-0272,Customer 272,user272@example.com,22,CA,2023-03-04,
CUST-0273,Customer 273,user273@example.com,70,UK,2023-03-16,457.91
CUST-0274,Customer 274,user274@example.com,23,DE,2023-10-18,1136.36
CUST-0275,Customer 275,user275@example.com,41,CA,2023-04-26,731.96
CUST-0276,Customer 276,user276@example.com,71,UK,2023-07-05,725.92
CUST-0277,Customer 277,user277@example.com,52,FR,2023-01-23,3.57
CUST-0278,Customer 278,user278@example.com,31,AU,2023-07-12,277.63
CUST-0279,Customer 279,user279@example.com,54,JP,2023-11-13,266.56
CUST-0280,Customer 280,user280@example.com,53,JP,2023-10-12,253.86
CUST-0281,Customer 281,user281@example.com,32,DE,2023-02-07,771.08
CUST-0282,Customer 282,user282@example.com,21,US,2023-02-27,1300.91
CUST-0283,Customer 283,INVALID,23,CA,2023-07-20,168.76
CUST-0284,Customer 284,INVALID,29,BR,2023-01-07,1335.08
CUST-0285,Customer 285,user285@example.com,50,FR,2023-10-06,222.94
CUST-0286,Customer 286,user286@example.com,35,AU,2023-11-13,111.77
CUST-0287,,user287@example.com,53,AU,2023-06-27,466.16
CUST-0288,Customer 288,user288@example.com,34,UK,2023-09-03,207.73
CUST-0289,Customer 289,user289@example.com,52,JP,2023-12-15,414.1
CUST-0290,Customer 290,user290@example.com,47,US,2023-08-04,241.18
CUST-0291,Customer 291,user291@example.com,69,AU,2023-09-18,
CUST-0292,Customer 292,user292@example.com,61,AU,2023-02-18,323.66
CUST-0293,Customer 293,user293@example.com,65,FR,2023-08-24,664.82
CUST-0294,Customer 294,user294@example.com,33,AU,2023-03-25,1264.04
CUST-0295,Customer 295,user295@example.com,66,US,2023-08-12,338.97
CUST-0296,Customer 296,user296@example.com,49,JP,2023-07-08,68.62
CUST-0297,Customer 297,user297@example.com,20,CA,2023-11-25,1875.53
CUST-0298,Customer 298,user298@example.com,18,CA,2023-10-04,474.38
CUST-0299,Customer 299,user299@example.com,48,AU,2023-06-06,118.2
